state,year,life_exp_m_f,sex_ratio
Hawaii,2011,0.925,100.3
Hawaii,2012,0.927,101.5
Hawaii,2013,0.933,102.6
Hawaii,2014,0.929,102.1
Hawaii,2015,0.934,102.5
Hawaii,2016,0.93,101.1
Hawaii,2017,0.924,100.7
Hawaii,2018,0.935,100.1
Hawaii,2019,0.927,100.0
Hawaii,2020,0.926,100.6
Idaho,2011,0.952,100.6
Idaho,2012,0.952,100.2
Idaho,2013,0.949,101.2
Idaho,2014,0.952,100.0
Idaho,2015,0.948,99.8
Idaho,2016,0.951,99.9
Idaho,2017,0.949,101.0
Idaho,2018,0.945,101.2
Idaho,2019,0.952,101.0
Idaho,2020,0.942,100.6
Illinois,2011,0.941,96.2
Illinois,2012,0.94,96.3
Illinois,2013,0.942,96.5
Illinois,2014,0.941,96.4
Illinois,2015,0.942,96.3
Illinois,2016,0.939,96.6
Illinois,2017,0.94,96.7
Illinois,2018,0.939,96.8
Illinois,2019,0.938,96.3
Illinois,2020,0.925,96.6
Indiana,2011,0.939,96.9
Indiana,2012,0.938,96.9
Indiana,2013,0.937,96.6
Indiana,2014,0.939,96.8
Indiana,2015,0.94,96.6
Indiana,2016,0.934,97.1
Indiana,2017,0.935,97.2
Indiana,2018,0.938,97.1
Indiana,2019,0.937,97.3
Indiana,2020,0.928,97.2
Iowa,2011,0.945,97.6
Iowa,2012,0.944,98.3
Iowa,2013,0.941,97.9
Iowa,2014,0.944,98.9
Iowa,2015,0.945,98.4
Iowa,2016,0.942,98.6
Iowa,2017,0.942,98.7
Iowa,2018,0.941,98.3
Iowa,2019,0.94,99.1
Iowa,2020,0.935,98.7
Kansas,2011,0.945,98.3
Kansas,2012,0.943,98.9
Kansas,2013,0.946,99.1
Kansas,2014,0.942,99.0
Kansas,2015,0.946,99.1
Kansas,2016,0.945,99.3
Kansas,2017,0.941,99.5
Kansas,2018,0.943,99.2
Kansas,2019,0.944,98.6
Kansas,2020,0.932,99.4
Kentucky,2011,0.935,96.3
Kentucky,2012,0.936,96.8
Kentucky,2013,0.937,96.9
Kentucky,2014,0.934,97.1
Kentucky,2015,0.932,96.7
Kentucky,2016,0.935,96.6
Kentucky,2017,0.933,97.1
Kentucky,2018,0.934,96.9
Kentucky,2019,0.937,96.9
Kentucky,2020,0.923,97.0
Louisiana,2011,0.932,95.6
Louisiana,2012,0.932,95.6
Louisiana,2013,0.929,95.2
Louisiana,2014,0.931,95.6
Louisiana,2015,0.927,95.9
Louisiana,2016,0.93,95.9
Louisiana,2017,0.929,95.6
Louisiana,2018,0.929,95.5
Louisiana,2019,0.93,95.3
Louisiana,2020,0.915,95.4
Maine,2011,0.942,96.2
Maine,2012,0.941,95.9
Maine,2013,0.941,95.8
Maine,2014,0.941,94.9
Maine,2015,0.943,96.0
Maine,2016,0.935,95.6
Maine,2017,0.94,96.1
Maine,2018,0.941,96.1
Maine,2019,0.936,95.4
Maine,2020,0.928,96.0
Maryland,2011,0.942,93.8
Maryland,2012,0.942,93.9
Maryland,2013,0.942,94.2
Maryland,2014,0.94,94.0
Maryland,2015,0.936,94.1
Maryland,2016,0.934,94.2
Maryland,2017,0.934,94.2
Maryland,2018,0.934,94.2
Maryland,2019,0.934,93.9
Maryland,2020,0.926,94.0
Massachusetts,2011,0.943,93.8
Massachusetts,2012,0.946,94.0
Massachusetts,2013,0.946,94.2
Massachusetts,2014,0.94,94.1
Massachusetts,2015,0.942,94.3
Massachusetts,2016,0.937,94.3
Massachusetts,2017,0.937,94.5
Massachusetts,2018,0.94,94.4
Massachusetts,2019,0.94,94.3
Massachusetts,2020,0.937,94.3
Michigan,2011,0.941,96.4
Michigan,2012,0.941,96.4
Michigan,2013,0.941,96.4
Michigan,2014,0.941,96.4
Michigan,2015,0.941,96.7
Michigan,2016,0.939,96.8
Michigan,2017,0.938,97.1
Michigan,2018,0.939,97.2
Michigan,2019,0.939,96.9
Michigan,2020,0.931,97.0
Minnesota,2011,0.948,98.8
Minnesota,2012,0.949,98.6
Minnesota,2013,0.948,98.6
Minnesota,2014,0.951,98.9
Minnesota,2015,0.951,98.9
Minnesota,2016,0.947,99.1
Minnesota,2017,0.949,99.5
Minnesota,2018,0.95,99.2
Minnesota,2019,0.947,98.9
Minnesota,2020,0.943,99.2
Mississippi,2011,0.928,94.4
Mississippi,2012,0.93,93.5
Mississippi,2013,0.928,94.2
Mississippi,2014,0.925,94.9
Mississippi,2015,0.924,93.8
Mississippi,2016,0.923,93.1
Mississippi,2017,0.926,94.1
Mississippi,2018,0.925,94.0
Mississippi,2019,0.92,93.1
Mississippi,2020,0.912,93.9
Missouri,2011,0.938,96.1
Missouri,2012,0.937,96.3
Missouri,2013,0.939,96.0
Missouri,2014,0.939,96.0
Missouri,2015,0.936,96.2
Missouri,2016,0.935,96.7
Missouri,2017,0.933,96.5
Missouri,2018,0.933,96.2
Missouri,2019,0.931,96.1
Missouri,2020,0.923,96.3
Montana,2011,0.942,100.5
Montana,2012,0.944,100.4
Montana,2013,0.947,99.8
Montana,2014,0.952,100.6
Montana,2015,0.94,101.0
Montana,2016,0.944,101.8
Montana,2017,0.949,100.4
Montana,2018,0.947,101.4
Montana,2019,0.944,101.0
Montana,2020,0.932,101.2
Nebraska,2011,0.947,98.1
Nebraska,2012,0.946,99.0
Nebraska,2013,0.949,98.1
Nebraska,2014,0.942,99.0
Nebraska,2015,0.946,98.8
Nebraska,2016,0.949,99.3
Nebraska,2017,0.943,99.8
Nebraska,2018,0.945,99.3
Nebraska,2019,0.947,99.9
Nebraska,2020,0.936,99.5
Nevada,2011,0.944,101.6
Nevada,2012,0.945,101.8
Nevada,2013,0.946,101.2
Nevada,2014,0.939,101.0
Nevada,2015,0.943,100.3
Nevada,2016,0.939,100.4
Nevada,2017,0.936,101.0
Nevada,2018,0.935,100.7
Nevada,2019,0.933,100.6
Nevada,2020,0.928,100.7
New Hampshire,2011,0.949,97.6
New Hampshire,2012,0.946,96.4
New Hampshire,2013,0.951,97.3
New Hampshire,2014,0.947,97.4
New Hampshire,2015,0.944,97.7
New Hampshire,2016,0.936,99.2
New Hampshire,2017,0.937,98.3
New Hampshire,2018,0.94,97.4
New Hampshire,2019,0.942,98.0
New Hampshire,2020,0.939,98.3
New Jersey,2011,0.945,95.0
New Jersey,2012,0.943,95.1
New Jersey,2013,0.943,95.3
New Jersey,2014,0.944,95.4
New Jersey,2015,0.944,95.5
New Jersey,2016,0.943,95.5
New Jersey,2017,0.941,95.4
New Jersey,2018,0.939,95.4
New Jersey,2019,0.942,95.7
New Jersey,2020,0.927,95.5
New Mexico,2011,0.936,99.1
New Mexico,2012,0.928,98.5
New Mexico,2013,0.932,98.4
New Mexico,2014,0.929,98.1
New Mexico,2015,0.927,98.6
New Mexico,2016,0.928,98.0
New Mexico,2017,0.928,98.1
New Mexico,2018,0.922,98.5
New Mexico,2019,0.922,97.8
New Mexico,2020,0.916,98.0
New York,2011,0.944,94.1
New York,2012,0.944,94.1
New York,2013,0.944,94.3
New York,2014,0.944,94.1
New York,2015,0.943,94.5
New York,2016,0.941,94.3
New York,2017,0.941,94.4
New York,2018,0.943,94.4
New York,2019,0.941,94.5
New York,2020,0.927,94.4
North Carolina,2011,0.939,94.4
North Carolina,2012,0.94,95.0
North Carolina,2013,0.94,94.9
North Carolina,2014,0.939,94.9
North Carolina,2015,0.941,95.1
North Carolina,2016,0.939,94.6
North Carolina,2017,0.937,94.8
North Carolina,2018,0.935,94.8
North Carolina,2019,0.935,94.4
North Carolina,2020,0.928,94.7
North Dakota,2011,0.942,101.2
North Dakota,2012,0.93,104.5
North Dakota,2013,0.933,104.2
North Dakota,2014,0.945,103.6
North Dakota,2015,0.934,105.3
North Dakota,2016,0.942,106.1
North Dakota,2017,0.935,105.8
North Dakota,2018,0.932,106.1
North Dakota,2019,0.938,103.9
North Dakota,2020,0.928,104.9
Ohio,2011,0.942,95.6
Ohio,2012,0.943,95.6
Ohio,2013,0.942,95.7
Ohio,2014,0.939,95.9
Ohio,2015,0.94,95.9
Ohio,2016,0.935,96.1
Ohio,2017,0.933,96.0
Ohio,2018,0.936,96.2
Ohio,2019,0.936,96.2
Ohio,2020,0.928,96.1
Oklahoma,2011,0.938,98.1
Oklahoma,2012,0.94,98.2
Oklahoma,2013,0.938,98.1
Oklahoma,2014,0.939,98.1
Oklahoma,2015,0.937,98.4
Oklahoma,2016,0.937,98.1
Oklahoma,2017,0.94,98.3
Oklahoma,2018,0.936,97.8
Oklahoma,2019,0.935,98.4
Oklahoma,2020,0.93,98.2
Oregon,2011,0.946,97.8
Oregon,2012,0.947,98.3
Oregon,2013,0.947,98.1
Oregon,2014,0.946,97.9
Oregon,2015,0.948,97.8
Oregon,2016,0.944,98.0
Oregon,2017,0.946,98.3
Oregon,2018,0.944,98.5
Oregon,2019,0.943,98.2
Oregon,2020,0.938,98.3
Pennsylvania,2011,0.937,95.3
Pennsylvania,2012,0.938,95.3
Pennsylvania,2013,0.939,95.6
Pennsylvania,2014,0.938,95.7
Pennsylvania,2015,0.938,95.7
Pennsylvania,2016,0.934,96.0
Pennsylvania,2017,0.934,96.0
Pennsylvania,2018,0.935,96.0
Pennsylvania,2019,0.937,96.1
Pennsylvania,2020,0.93,96.1
Rhode Island,2011,0.939,93.6
Rhode Island,2012,0.939,93.3
Rhode Island,2013,0.937,95.3
Rhode Island,2014,0.94,94.1
Rhode Island,2015,0.941,94.0
Rhode Island,2016,0.938,93.8
Rhode Island,2017,0.937,93.9
Rhode Island,2018,0.942,95.3
Rhode Island,2019,0.94,95.4
Rhode Island,2020,0.933,94.7
South Carolina,2011,0.934,94.6
South Carolina,2012,0.936,94.6
South Carolina,2013,0.933,94.6
South Carolina,2014,0.935,94.8
South Carolina,2015,0.933,95.0
South Carolina,2016,0.93,94.1
South Carolina,2017,0.929,94.2
South Carolina,2018,0.93,94.4
South Carolina,2019,0.929,93.3
South Carolina,2020,0.919,94.1
South Dakota,2011,0.937,99.3
South Dakota,2012,0.945,100.5
South Dakota,2013,0.941,100.8
South Dakota,2014,0.933,100.4
South Dakota,2015,0.936,101.1
South Dakota,2016,0.939,101.4
South Dakota,2017,0.935,101.7
South Dakota,2018,0.934,101.9
South Dakota,2019,0.94,103.3
South Dakota,2020,0.935,101.5
Tennessee,2011,0.933,95.0
Tennessee,2012,0.935,95.0
Tennessee,2013,0.936,95.6
Tennessee,2014,0.934,95.0
Tennessee,2015,0.936,95.0
Tennessee,2016,0.935,95.4
Tennessee,2017,0.932,95.0
Tennessee,2018,0.933,95.2
Tennessee,2019,0.926,95.1
Tennessee,2020,0.918,95.3
Texas,2011,0.944,98.5
Texas,2012,0.943,98.7
Texas,2013,0.943,98.8
Texas,2014,0.942,98.6
Texas,2015,0.943,98.4
Texas,2016,0.942,98.6
Texas,2017,0.941,98.7
Texas,2018,0.94,98.6
Texas,2019,0.939,98.5
Texas,2020,0.929,98.7
Utah,2011,0.956,101.3
Utah,2012,0.957,101.0
Utah,2013,0.958,101.2
Utah,2014,0.958,101.1
Utah,2015,0.957,101.1
Utah,2016,0.952,101.7
Utah,2017,0.953,101.6
Utah,2018,0.953,101.5
Utah,2019,0.955,101.0
Utah,2020,0.952,101.4
Vermont,2011,0.953,97.0
Vermont,2012,0.945,97.6
Vermont,2013,0.946,97.1
Vermont,2014,0.948,97.0
Vermont,2015,0.953,97.2
Vermont,2016,0.946,97.2
Vermont,2017,0.941,97.5
Vermont,2018,0.944,96.8
Vermont,2019,0.945,98.2
Vermont,2020,0.935,97.6
Virginia,2011,0.947,96.6
Virginia,2012,0.946,96.3
Virginia,2013,0.948,96.7
Virginia,2014,0.948,96.7
Virginia,2015,0.947,96.9
Virginia,2016,0.945,96.7
Virginia,2017,0.944,96.7
Virginia,2018,0.943,96.9
Virginia,2019,0.946,97.0
Virginia,2020,0.938,96.8
Washington,2011,0.949,99.6
Washington,2012,0.946,99.6
Washington,2013,0.949,99.4
Washington,2014,0.948,99.9
Washington,2015,0.949,100.0
Washington,2016,0.947,99.8
Washington,2017,0.946,99.8
Washington,2018,0.948,100.0
Washington,2019,0.949,100.0
Washington,2020,0.942,100.1
West Virginia,2011,0.932,97.2
West Virginia,2012,0.936,96.6
West Virginia,2013,0.936,97.8
West Virginia,2014,0.932,97.8
West Virginia,2015,0.937,97.1
West Virginia,2016,0.932,96.9
West Virginia,2017,0.932,97.7
West Virginia,2018,0.931,98.2
West Virginia,2019,0.933,97.7
West Virginia,2020,0.917,97.8
Wisconsin,2011,0.946,98.6
Wisconsin,2012,0.947,98.6
Wisconsin,2013,0.946,98.9
Wisconsin,2014,0.948,98.6
Wisconsin,2015,0.944,98.8
Wisconsin,2016,0.946,98.9
Wisconsin,2017,0.941,98.8
Wisconsin,2018,0.944,98.9
Wisconsin,2019,0.945,98.7
Wisconsin,2020,0.936,99.1
Wyoming,2011,0.948,103.8
Wyoming,2012,0.951,103.2
Wyoming,2013,0.945,104.3
Wyoming,2014,0.945,103.6
Wyoming,2015,0.947,101.4
Wyoming,2016,0.946,103.8
Wyoming,2017,0.956,104.3
Wyoming,2018,0.946,102.6
Wyoming,2019,0.944,104.7
Wyoming,2020,0.938,103.9
