state,education,year
Louisiana,1.182,2015
Maine,1.129,2015
Maryland,1.156,2015
Massachusetts,1.122,2015
Michigan,1.12,2015
Minnesota,1.09,2015
Mississippi,1.197,2015
Missouri,1.15,2015
Montana,1.086,2015
Nebraska,1.108,2015
Nevada,1.074,2015
New Hampshire,1.096,2015
New Jersey,1.134,2015
New Mexico,1.147,2015
New York,1.168,2015
North Carolina,1.17,2015
North Dakota,1.071,2015
Ohio,1.121,2015
Oklahoma,1.11,2015
Oregon,1.107,2015
Pennsylvania,1.138,2015
Rhode Island,1.155,2015
South Carolina,1.167,2015
South Dakota,1.062,2015
Tennessee,1.167,2015
Texas,1.129,2015
Utah,1.054,2015
Vermont,1.103,2015
Virginia,1.121,2015
Washington,1.06,2015
West Virginia,1.088,2015
Wisconsin,1.115,2015
Wyoming,0.984,2015
Alabama,1.175,2014
Alaska,1.021,2014
Arizona,1.1,2014
Arkansas,1.117,2014
California,1.093,2014
Colorado,1.098,2014
Connecticut,1.117,2014
Delaware,1.175,2014
Florida,1.12,2014
Georgia,1.167,2014
Hawaii,1.083,2014
Idaho,1.067,2014
Illinois,1.134,2014
Indiana,1.124,2014
Iowa,1.093,2014
Kansas,1.082,2014
Kentucky,1.113,2014
Louisiana,1.179,2014
Maine,1.139,2014
Maryland,1.162,2014
Massachusetts,1.131,2014
Michigan,1.133,2014
Minnesota,1.077,2014
Mississippi,1.198,2014
Missouri,1.121,2014
Montana,1.064,2014
Nebraska,1.093,2014
Nevada,1.068,2014
New Hampshire,1.081,2014
New Jersey,1.128,2014
New Mexico,1.109,2014
New York,1.171,2014
North Carolina,1.168,2014
North Dakota,1.055,2014
Ohio,1.129,2014
Oklahoma,1.123,2014
Oregon,1.117,2014
Pennsylvania,1.133,2014
Rhode Island,1.12,2014
South Carolina,1.175,2014
South Dakota,1.075,2014
Tennessee,1.156,2014
Texas,1.127,2014
Utah,1.044,2014
Vermont,1.07,2014
Virginia,1.111,2014
Washington,1.052,2014
West Virginia,1.088,2014
Wisconsin,1.109,2014
Wyoming,0.973,2014
Alabama,1.181,2016
Alaska,1.042,2016
Arizona,1.106,2016
Arkansas,1.135,2016
California,1.097,2016
Colorado,1.063,2016
Connecticut,1.116,2016
Delaware,1.168,2016
Florida,1.136,2016
Georgia,1.187,2016
Hawaii,1.089,2016
Idaho,1.051,2016
Illinois,1.133,2016
Indiana,1.126,2016
Iowa,1.081,2016
Kansas,1.087,2016
Kentucky,1.11,2016
Louisiana,1.193,2016
Maine,1.136,2016
Maryland,1.169,2016
Massachusetts,1.138,2016
Michigan,1.123,2016
Minnesota,1.078,2016
Mississippi,1.243,2016
Missouri,1.112,2016
Montana,1.078,2016
Nebraska,1.108,2016
Nevada,1.078,2016
New Hampshire,1.092,2016
New Jersey,1.139,2016
New Mexico,1.092,2016
New York,1.175,2016
North Carolina,1.168,2016
North Dakota,1.071,2016
Ohio,1.128,2016
Oklahoma,1.128,2016
Oregon,1.083,2016
Pennsylvania,1.133,2016
Rhode Island,1.129,2016
South Carolina,1.161,2016
South Dakota,1.112,2016
Tennessee,1.159,2016
Texas,1.126,2016
Utah,1.055,2016
Vermont,1.129,2016
Virginia,1.119,2016
Washington,1.059,2016
West Virginia,1.105,2016
Wisconsin,1.119,2016
Wyoming,0.964,2016
Alabama,1.168,2017
Alaska,0.947,2017
Arizona,1.108,2017
Arkansas,1.1,2017
California,1.103,2017
Colorado,1.067,2017
Connecticut,1.132,2017
Delaware,1.141,2017
Florida,1.124,2017
Georgia,1.174,2017
Hawaii,1.113,2017
Idaho,1.062,2017
Illinois,1.14,2017
Indiana,1.143,2017
Iowa,1.093,2017
Kansas,1.1,2017
Kentucky,1.123,2017
Louisiana,1.197,2017
Maine,1.171,2017
Maryland,1.149,2017
Massachusetts,1.123,2017
Michigan,1.116,2017
Minnesota,1.082,2017
Mississippi,1.198,2017
Missouri,1.123,2017
Montana,1.055,2017
Nebraska,1.091,2017
Nevada,1.075,2017
New Hampshire,1.072,2017
New Jersey,1.143,2017
New Mexico,1.106,2017
New York,1.167,2017
North Carolina,1.167,2017
North Dakota,1.048,2017
Ohio,1.131,2017
Oklahoma,1.129,2017
Oregon,1.094,2017
Pennsylvania,1.14,2017
Rhode Island,1.12,2017
South Carolina,1.184,2017
South Dakota,1.018,2017
Tennessee,1.142,2017
Texas,1.127,2017
Utah,1.071,2017
Vermont,1.125,2017
Virginia,1.106,2017
Washington,1.065,2017
West Virginia,1.071,2017
Wisconsin,1.112,2017
Wyoming,0.996,2017
Alabama,1.158,2013
Alaska,0.971,2013
Arizona,1.122,2013
Arkansas,1.088,2013
California,1.107,2013
Colorado,1.069,2013
Connecticut,1.119,2013
Delaware,1.168,2013
Florida,1.135,2013
Georgia,1.148,2013
Hawaii,1.088,2013
Idaho,1.08,2013
Illinois,1.132,2013
Indiana,1.143,2013
Iowa,1.089,2013
Kansas,1.085,2013
Kentucky,1.114,2013
Louisiana,1.199,2013
Maine,1.147,2013
Maryland,1.163,2013
Massachusetts,1.14,2013
Michigan,1.124,2013
Minnesota,1.083,2013
Mississippi,1.157,2013
Missouri,1.103,2013
Montana,1.074,2013
Nebraska,1.085,2013
Nevada,1.074,2013
New Hampshire,1.08,2013
New Jersey,1.139,2013
New Mexico,1.07,2013
New York,1.179,2013
North Carolina,1.171,2013
North Dakota,1.055,2013
Ohio,1.133,2013
Oklahoma,1.137,2013
Oregon,1.1,2013
Pennsylvania,1.142,2013
Rhode Island,1.112,2013
South Carolina,1.16,2013
South Dakota,1.045,2013
Tennessee,1.165,2013
Texas,1.121,2013
Utah,1.059,2013
Vermont,1.127,2013
Virginia,1.109,2013
Washington,1.078,2013
West Virginia,1.084,2013
Wisconsin,1.106,2013
Wyoming,0.949,2013
Alabama,1.16,2012
Alaska,1.019,2012
Arizona,1.1,2012
Arkansas,1.129,2012
California,1.105,2012
Colorado,1.054,2012
Connecticut,1.114,2012
Delaware,1.15,2012
Florida,1.133,2012
Georgia,1.165,2012
Hawaii,1.108,2012
Idaho,1.08,2012
Illinois,1.141,2012
Indiana,1.133,2012
Iowa,1.077,2012
Kansas,1.086,2012
Kentucky,1.122,2012
Louisiana,1.169,2012
Maine,1.117,2012
Maryland,1.158,2012
Massachusetts,1.139,2012
Michigan,1.128,2012
Minnesota,1.087,2012
Mississippi,1.227,2012
Missouri,1.145,2012
Montana,1.035,2012
Nebraska,1.101,2012
Nevada,1.081,2012
New Hampshire,1.086,2012
New Jersey,1.145,2012
New Mexico,1.1,2012
New York,1.176,2012
North Carolina,1.153,2012
North Dakota,1.055,2012
Ohio,1.125,2012
Oklahoma,1.129,2012
Oregon,1.102,2012
Pennsylvania,1.144,2012
Rhode Island,1.134,2012
South Carolina,1.18,2012
South Dakota,1.033,2012
Tennessee,1.151,2012
Texas,1.126,2012
Utah,1.052,2012
Vermont,1.085,2012
Virginia,1.116,2012
Washington,1.084,2012
West Virginia,1.095,2012
Wisconsin,1.101,2012
Wyoming,0.952,2012
Alabama,1.19,2011
Alaska,1.011,2011
Arizona,1.094,2011
Arkansas,1.102,2011
California,1.109,2011
Colorado,1.07,2011
Connecticut,1.113,2011
Delaware,1.151,2011
Florida,1.135,2011
Georgia,1.162,2011
Hawaii,1.1,2011
Idaho,1.091,2011
Illinois,1.142,2011
Indiana,1.124,2011
Iowa,1.083,2011
Kansas,1.092,2011
Kentucky,1.088,2011
Louisiana,1.186,2011
Maine,1.11,2011
Maryland,1.177,2011
Massachusetts,1.127,2011
Michigan,1.136,2011
Minnesota,1.079,2011
Mississippi,1.196,2011
Missouri,1.118,2011
Montana,1.04,2011
Nebraska,1.119,2011
Nevada,1.074,2011
New Hampshire,1.095,2011
New Jersey,1.145,2011
New Mexico,1.088,2011
New York,1.177,2011
North Carolina,1.158,2011
North Dakota,1.064,2011
Ohio,1.13,2011
Oklahoma,1.146,2011
Oregon,1.111,2011
Pennsylvania,1.143,2011
Rhode Island,1.158,2011
South Carolina,1.161,2011
South Dakota,1.045,2011
Tennessee,1.172,2011
Texas,1.133,2011
Utah,1.051,2011
Vermont,1.093,2011
Virginia,1.115,2011
Washington,1.058,2011
West Virginia,1.113,2011
Wisconsin,1.104,2011
Wyoming,1.01,2011
